n.id,numberOfConnectedEdges
"""DYNLT5""",189
"""OR10AG1""",420
"""SEMA3F""",709
"""TRAV26-1""",140
"""CLHC1""",645
"""AADACL2""",428
"""FAM78A""",323
"""EPIST""",2
"""LINC01982""",1
"""FNIP2""",996
"""CCNP""",388
"""CCDC191""",903
"""PNRC2""",126
"""LINC01970""",1
"""MIS18BP1""",1064
"""MIR138-1""",1
"""LINC02540""",1
"""CDC25A""",363
"""ARMCX5""",377
"""COL25A1-DT""",2
"""SLCO2A1""",670
"""MTA2""",448
"""MIR4528""",1
"""RPIA""",284
"""AURKB""",380
"""MIR4675""",1
"""LINC02087""",1
"""GOLGA7""",91
"""INTS4P1""",2
"""GARS1-DT""",1
"""P3H3""",761
"""PHF24""",400
"""FAM153A""",368
"""HMX2""",310
"""MIR924""",1
"""SNORD153""",1
"""RFX2""",649
"""GJD4""",501
"""SNORD32A""",1
"""DAZ4""",38
"""HSPB8""",344
"""SEZ6L""",1005
"""LINC02518""",1
"""RXFP3""",586
"""LHX2""",324
"""PPP2R3B""",803
"""MIR6505""",1
"""LINC01433""",1
"""KLHL40""",720
"""MDH1B""",520
"""MIR92B""",1
"""PRICKLE1""",683
"""ENPP5""",463
"""MIR2054""",1
"""C19orf44""",665
"""PGA4""",149
"""ASAP1""",819
"""ZFTA""",4
"""PHPT1""",203
"""AP5Z1""",1371
"""FOXRED1""",542
"""LINC02243""",1
"""FYN""",342
"""MIR3939""",1
"""LINC01872""",1
"""PRAP1""",155
"""KCTD7""",407
"""CNBD1""",699
"""BNIP3L""",167
"""ZFAS1""",5
"""SNX14""",777
"""LINC01166""",2
"""MCMBP""",475
"""WDR45""",312
"""CDH1""",1430
"""ARHGEF28""",1581
"""DLST""",512
"""RNF43""",790
"""MIR643""",1
"""CACNA1G-AS1""",1
"""MIR890""",1
"""LPAR3""",340
"""CMPK2""",536
"""ZNF329""",546
"""SLC25A30-AS1""",1
"""HOMEZ""",487
"""MIR670""",1
"""MIR12132""",1
"""FAM90A27P""",2
"""DDX59-AS1""",1
"""LINC02198""",1
"""OR2B8P""",1
"""A4GALT""",443
"""ZNF574""",884
"""GSPT2""",348
"""ADAMTSL4""",1203
"""BAZ2A""",1554
"""MRPL51""",124
"""PPFIA2-AS1""",1
"""POT1""",700
"""LINC00635""",2
"""ZFAND2B""",359
"""RUNX3-AS1""",11
"""FOXN3""",456
"""IFITM2""",297
"""IL17F""",189
"""ZNF280B""",548
"""TCEA3""",323
"""FBXW2""",282
"""HGH1""",274
"""KRT17""",521
"""ZNF232-AS1""",2
"""MBP""",596
"""LINC01124""",1
"""ZNF783""",611
"""TTTY13""",2
"""FOXD1""",355
"""HPS5""",1070
"""TARS3""",791
"""RMRP""",1
"""KLHL41""",497
"""SLC27A4""",679
"""CMA1""",348
"""GPC3-AS1""",1
"""LINC01412""",1
"""HOXA7""",295
"""LZTS1-AS1""",1
"""SUSD5""",615
"""MCCC1""",742
"""MS4A15""",340
"""ZNF567""",566
"""EGLN2""",407
"""CRYGA""",233
"""LGALS4""",348
"""ANKRD18A""",841
"""KLHDC3""",238
"""KSR1""",962
"""LSP1P5""",3
"""MIR7-3HG""",4
"""CES3""",580
"""ZMPSTE24""",484
"""ABCB4""",1210
"""ZDBF2""",2233
"""LINC01331""",1
"""SCUBE1""",963
"""GPR146""",375
"""DDRGK1""",361
"""NFE4""",7
"""OR4N4""",412
"""LINC02541""",1
"""LINC01335""",1
"""LINC01122""",1
"""GAGE4""",2
"""SLC1A2""",568
"""EFNA4""",249
"""POM121L4P""",1
"""MIR6801""",1
"""LINC02883""",1
"""ITGB6""",844
"""MYL3""",207
"""FAM217A""",560
"""PIGO""",1025
"""MIR6810""",1
"""CCDC74A""",675
"""MKLN1""",496
"""DIAPH3""",1180
"""FUCA1""",454
"""LINC01342""",1
"""ARL10""",295
"""TRIM27""",318
"""FAM83G""",813
"""CHRNA5""",404
"""OR2L5""",317
"""SERPINB9P1""",1
"""CD276""",611
"""PPIG""",632
"""H2BC1""",173
"""HGSNAT""",703
"""CBX3P2""",1
"""CXCL11""",92
"""UBE2H""",98
"""LINC01798""",1
"""CFAP52""",690
"""LLPH-DT""",1
"""DNAAF3""",703
"""IRF2BP1""",431
"""TTC3P1""",1
"""TBC1D12""",706
"""TRAJ10""",17
"""LMNB1""",457
"""ZRSR2P1""",1
"""MIR29B1""",1
"""SNAPC3""",498
"""NUP85""",636
"""OR4F29""",21
"""RB1CC1""",1385
"""MIR1539""",1
"""MIR4301""",1
"""UBA5""",334
"""IL32""",559
"""GRIP2""",1178
"""IMP3""",240
"""ACD""",567
"""DMRTC1""",65
"""LINC02206""",1
"""UBE2Q2P2""",1
"""FBXO6""",309
"""SPEN""",3040
"""KIAA0825""",1045
"""ZMAT4""",254
"""HAUS1""",327
"""ZNF727""",551
"""ASB1""",315
"""NSUN2""",799
"""LINC01877""",1
"""LINC02422""",1
"""MIR4435-2""",1
"""CT66""",3
"""LINC02552""",1
"""DTX3""",346
"""LINC02342""",2
"""PIN1P1""",2
"""ZNF136""",444
"""EIF3K""",218
"""LINC01151""",1
"""DEFB115""",132
"""RAB26""",466
"""HERPUD2""",319
"""ICAM1""",509
"""LIF-AS2""",1
"""EEF1AKMT4""",249
"""FAM237B""",68
"""ZNF767P""",5
"""BRDT""",920
"""VLDLR""",934
"""OR6T1""",382
"""RPL13AP5""",1
"""RTL6""",241
"""SCARF2""",851
"""HTR2A""",305
"""LMF1-AS1""",2
"""TRDV3""",104
"""KRT8""",536
"""MIR3065""",1
"""RECQL""",617
"""NBDY""",28
"""STAP1""",313
"""CD40""",262
"""PTAFR""",294
"""LINC01695""",1
"""MIR612""",1
"""MIR542""",1
"""FAM30C""",1
"""MIR3119-1""",1
"""ZNF76""",640
"""RNF19A""",633
"""LINC02877""",2
"""LINC02468""",1
"""TRDV1""",120
"""ALG12""",546
"""DCN""",440
"""XKRY2""",2
"""LINC00622""",1
"""KIF28P""",1
"""H2BC14""",184
"""ESPL1""",1467
"""LINC01870""",1
"""PAX4""",504
"""GABRB3""",598
"""ROCK1P1""",3
"""MIR4753""",1
"""ACTA2-AS1""",1
"""SMIM26""",102
"""LINC02591""",1
"""SPATA46""",280
"""GABRG3""",532
"""LINC02396""",2
"""DZIP1L""",896
"""LINC00566""",1
"""SLC7A5P1""",1
"""LINC01608""",2
"""PCGF1""",191
"""MAGEA13P""",1
"""MIR613""",1
"""LRRC69""",284
"""LINC02184""",1
"""MIR376A1""",1
"""DIABLO""",472
"""RPL13P5""",1
"""DSC3""",987
"""OTUD6A""",231
"""C2-AS1""",1
"""LINC01237""",1
"""TMC3""",1081
"""PMVK""",187
"""DHX33-DT""",1
"""C19orf71""",337
"""GOLGA8H""",822
"""CDSN""",507
"""UBXN7""",287
"""MIR7162""",1
"""ABCA9-AS1""",1
"""ACVR1B""",430
"""PCDH17""",1343
"""LINC02909""",1
"""TMEM210""",142
"""SPATA22""",376
"""LINC01209""",1
"""MIR4488""",1
"""IFFO1""",607
"""ZDHHC15""",241
"""RAB3A""",145
"""MIR1260A""",1
"""PRCP""",531
"""OR8J2""",1
"""MIR6798""",1
"""C12orf75""",100
"""PIP5K1B""",446
"""SEC14L6""",397
"""NME5""",204
"""ABHD13""",269
"""PRAMEF19""",440
"""ZNF584""",476
"""FAM107B""",438
"""MIR4297""",1
"""SNORA98""",1
"""EGFLAM""",1155
"""SIRT5""",410
"""MIR873""",1
"""TMEM89""",170
"""TRAJ14""",18
"""CCNK""",373
"""CCDC149""",432
"""DMRTB1""",384
"""TTC37""",1319
"""STEAP2""",472
"""MELTF""",892
"""CCN4""",441
"""MZT1""",86
"""LINC00629""",1
"""MIRLET7BHG""",2
"""LTB4R""",335
"""RCE1""",299
"""PKNOX1""",341
"""UQCR11""",79
"""C18orf25""",357
"""LINC01743""",1
"""P2RX7""",671
"""TBC1D22B""",362
"""SNORD3I""",1
"""UBE2R2""",110
"""RCL1""",503
"""LINC02515""",5
"""ZG16""",134
"""POLG""",1717
"""REPIN1""",836
"""TMEM252-DT""",1
"""LINC01422""",1
"""SYTL1""",558
"""FBXO25""",417
"""DDX12P""",2
"""LRRC9""",1078
"""ARL5B""",134
"""LINC01930""",1
"""MIR181C""",1
"""TRBV23-1""",93
"""KRTAP6-2""",98
"""DCPS""",397
"""USHBP1""",810
"""ZNF107""",943
"""DVL1P1""",3
"""SLC25A38""",289
"""FSD1""",481
"""HSP90B1""",560
"""TRAJ12""",15
"""CYS1""",169
"""BDNF-AS""",5
"""ERBIN""",1243
"""IGKV1-39""",119
"""REPS2""",435
"""COL17A1""",1456
"""ATP1B2""",274
"""INE1""",2
"""LRRC26""",387
"""ZNF597""",455
"""FOXA2""",501
"""OR5J2""",444
"""SHPK""",503
"""RFPL4B""",264
"""KRCC1""",215
"""POLRMT""",1731
"""MRPS9""",367
"""SRFBP1""",492
"""PATL1""",568
"""JUN""",281
"""CBX4""",584
"""E4F1""",926
"""ADAM5""",9
"""PERCC1""",205
"""PUM2""",845
"""LRAT""",252
"""RSRC1""",396
"""TPPP""",222
"""TBATA""",400
"""TAAR8""",362
"""MKNK2""",602
"""CD5L""",422
"""MIR6506""",1
"""CCER2""",275
"""PTRH2""",147
"""ARL6IP6""",332
"""LINC01343""",1
"""MIR377""",1
"""SCAI""",423
"""MIR6726""",1
"""NPY2R""",356
"""HAS1""",814
"""LINC02814""",9
"""SARM1""",714
"""OR2G3""",387
"""PIK3CG""",1096
"""CITED1""",160
"""DMC1""",248
"""SREBF2""",1168
"""SPRR1A""",126
"""WFDC10A""",86
"""CDC42-AS1""",1
"""ZNF746""",657
"""LINC01814""",1
"""STPG3""",523
"""GPHA2""",160
"""MYL6""",273
"""HECW2-AS1""",2
"""OR56B2P""",136
"""YY2""",241
"""LINC00858""",1
"""DCTN3""",278
"""TNNI2""",203
"""B4GALT1-AS1""",3
"""CCNO""",420
"""FANCF""",455
"""TRIM62""",428
"""PHACTR3-AS1""",1
"""RFX5""",618
"""COL9A3""",828
"""CALM1""",130
"""A2MP1""",1
"""TAS2R46""",362
"""LINC00588""",2
"""MIR627""",1
"""SPTLC3""",575
"""IGHV1-58""",222
"""MIR6847""",1
"""STRN""",699
"""LINC02309""",1
"""CFAP126""",151
"""ARHGAP21""",1748
"""SLC2A7""",567
"""TRBV7-4""",131
"""UBE2F""",213
"""SQOR""",463
"""COG8""",725
"""KCNG4""",729
"""SPRED3""",476
"""DEPDC7""",428
"""TMEM140""",193
"""MRPL24""",217
"""MFFP3""",1
"""FAM171A1""",938
"""SNORA61""",1
"""ESS2""",533
"""XIRP1""",1927
"""LAMP1""",391
"""GATA2-AS1""",1
"""HCG18""",4
